iter,minutes,agent_steps,sps,episodes,ep_len_s,draw_rate,hits_per_ep,pool_win,pool_loss,entropy,pg_loss,v_loss,kl,clipfrac,rule_win,rule_loss,rule_dodge,random_win,random_loss,random_dodge,lateral,strafer_win,strafer_loss,strafer_dodge,v1_win,v1_loss,v1_dodge
153,10.743,20054016,48160,42,28.37,0.143,7.43,0.714,0.214,2.767,-0.0027,0.076,0.0065,0.065,,,,,,,,,,,,,
154,10.79,20185088,46302,38,31.44,0.158,6.92,0.833,0.167,2.771,-0.0028,0.0697,0.0056,0.064,,,,,,,,,,,,,
155,10.833,20316160,50436,35,26.56,0.0,7.4,1.0,0.0,2.766,-0.003,0.072,0.0064,0.07,,,,,,,,,,,,,
156,10.874,20447232,53280,40,34.09,0.125,7.88,0.429,0.571,2.797,-0.0027,0.0721,0.0062,0.072,,,,,,,,,,,,,
157,10.923,20578304,44843,29,28.35,0.103,7.52,0.333,0.5,2.791,-0.0026,0.0514,0.0058,0.062,,,,,,,,,,,,,
158,10.965,20709376,51902,33,36.27,0.242,7.27,0.333,0.667,2.79,-0.003,0.0827,0.0065,0.074,,,,,,,,,,,,,
159,11.002,20840448,58391,40,32.41,0.15,7.25,0.8,0.2,2.788,-0.0026,0.0742,0.0063,0.069,,,,,,,,,,,,,
160,11.039,20971520,60447,31,37.3,0.258,6.55,0.833,0.167,2.785,-0.003,0.0463,0.0055,0.071,,,,,,,,,,,,,
161,11.076,21102592,57691,36,31.4,0.139,7.14,0.769,0.154,2.775,-0.0028,0.0654,0.0059,0.07,,,,,,,,,,,,,
162,11.11,21233664,64556,30,33.05,0.2,7.2,0.857,0.143,2.769,-0.0026,0.0511,0.007,0.077,,,,,,,,,,,,,
163,11.144,21364736,64533,36,31.29,0.083,7.78,0.75,0.25,2.776,-0.0029,0.0683,0.0061,0.066,,,,,,,,,,,,,
164,11.179,21495808,62989,30,31.11,0.1,7.8,0.818,0.091,2.784,-0.0026,0.062,0.0057,0.059,,,,,,,,,,,,,
165,11.216,21626880,58120,32,24.74,0.125,7.44,0.667,0.2,2.78,-0.0026,0.062,0.006,0.07,,,,,,,,,,,,,
166,11.258,21757952,52656,36,28.04,0.139,7.42,0.714,0.286,2.773,-0.0029,0.0667,0.0058,0.066,,,,,,,,,,,,,
167,11.292,21889024,63686,38,34.49,0.184,7.11,0.889,0.0,2.781,-0.0025,0.0669,0.007,0.07,,,,,,,,,,,,,
168,11.331,22020096,56082,39,31.86,0.179,6.97,0.846,0.077,2.78,-0.0028,0.0822,0.0058,0.071,,,,,,,,,,,,,
169,11.365,22151168,64074,29,31.22,0.138,7.28,0.75,0.25,2.792,-0.0026,0.0708,0.0061,0.063,,,,,,,,,,,,,
170,11.399,22282240,65800,37,32.7,0.162,7.68,0.625,0.25,2.804,-0.0028,0.0668,0.006,0.064,,,,,,,,,,,,,
171,11.431,22413312,66916,35,32.49,0.143,7.34,0.6,0.4,2.79,-0.0031,0.0658,0.006,0.069,,,,,,,,,,,,,
172,11.464,22544384,65782,30,31.67,0.233,6.17,0.7,0.3,2.775,-0.0032,0.0579,0.0053,0.061,,,,,,,,,,,,,
173,11.499,22675456,63758,37,31.88,0.108,7.43,0.778,0.222,2.779,-0.0028,0.0857,0.0065,0.072,,,,,,,,,,,,,
174,11.532,22806528,65491,38,28.71,0.079,7.82,0.467,0.533,2.763,-0.0025,0.0773,0.0058,0.061,,,,,,,,,,,,,
175,11.569,22937600,58387,30,28.32,0.067,7.63,0.857,0.143,2.726,-0.0032,0.0671,0.0055,0.059,,,,,,,,,,,,,
176,11.604,23068672,62849,51,34.58,0.098,7.35,0.833,0.167,2.759,-0.003,0.0762,0.0062,0.071,,,,,,,,,,,,,
177,11.636,23199744,69490,27,32.88,0.185,7.63,0.6,0.3,2.752,-0.0026,0.0499,0.0063,0.073,,,,,,,,,,,,,
178,11.668,23330816,66608,33,32.56,0.212,7.39,0.778,0.111,2.758,-0.0031,0.058,0.006,0.073,,,,,,,,,,,,,
179,11.701,23461888,67993,23,31.85,0.217,7.7,0.667,0.167,2.742,-0.0027,0.06,0.0056,0.064,,,,,,,,,,,,,
180,11.733,23592960,68231,32,30.45,0.094,7.25,0.667,0.333,2.752,-0.0025,0.0808,0.0061,0.073,,,,,,,,,,,,,
181,11.766,23724032,66018,40,29.44,0.175,7.2,1.0,0.0,2.783,-0.0027,0.053,0.0051,0.056,,,,,,,,,,,,,
182,11.803,23855104,59154,49,31.37,0.204,7.43,0.7,0.25,2.787,-0.003,0.0872,0.0056,0.061,,,,,,,,,,,,,
